Date,Predicted_Close
2022-10-20,5.301019
2022-10-21,5.2614913
2022-10-22,5.217768
2022-10-23,5.177416
2022-10-24,5.173531
2022-10-25,5.162952
2022-10-26,5.190436
2022-10-27,5.24746
2022-10-28,5.3070574
2022-10-29,5.378989
2022-10-30,5.501207
2022-10-31,5.5779924
2022-11-01,5.622898
2022-11-02,5.6291313
2022-11-03,5.58727
2022-11-04,5.619611
2022-11-05,5.748446
2022-11-06,5.914162
2022-11-07,6.0157037
2022-11-08,6.0471225
2022-11-09,5.870753
2022-11-10,5.503753
2022-11-11,5.175071
2022-11-12,4.8965287
2022-11-13,4.6644883
2022-11-14,4.505217
2022-11-15,4.419955
2022-11-16,4.4048257
2022-11-17,4.4254007
2022-11-18,4.459839
2022-11-19,4.5010557
2022-11-20,4.544416
2022-11-21,4.5456142
2022-11-22,4.521708
2022-11-23,4.5108833
2022-11-24,4.528275
2022-11-25,4.550744
2022-11-26,4.555482
2022-11-27,4.551092
2022-11-28,4.5476484
2022-11-29,4.5307584
2022-11-30,4.524001
2022-12-01,4.535084
2022-12-02,4.5484805
2022-12-03,4.6031957
2022-12-04,4.6357284
2022-12-05,4.6757193
2022-12-06,4.7027707
2022-12-07,4.7293
2022-12-08,4.7105064
2022-12-09,4.6772285
2022-12-10,4.646976
2022-12-11,4.614995
2022-12-12,4.573361
2022-12-13,4.5291576
2022-12-14,4.5007153
2022-12-15,4.472117
2022-12-16,4.4350834
2022-12-17,4.2196975
2022-12-18,3.970552
2022-12-19,3.7199109
2022-12-20,3.472612
2022-12-21,3.296123
2022-12-22,3.1894772
2022-12-23,3.1445408
2022-12-24,3.1401124
2022-12-25,3.1543343
2022-12-26,3.180905
2022-12-27,3.2157266
2022-12-28,3.259182
2022-12-29,3.2878077
2022-12-30,3.2998962
2022-12-31,3.298404
2023-01-01,3.2940319
2023-01-02,3.3038747
2023-01-03,3.3255637
2023-01-04,3.3417037
2023-01-05,3.3928187
2023-01-06,3.4436157
2023-01-07,3.494647
2023-01-08,3.530247
2023-01-09,3.5726814
2023-01-10,3.6667035
2023-01-11,3.7698588
2023-01-12,3.8561926
2023-01-13,3.938051
2023-01-14,4.0291433
2023-01-15,4.2328773
2023-01-16,4.453878
2023-01-17,4.6264668
2023-01-18,4.7505984
2023-01-19,4.7649436
2023-01-20,4.7380667
2023-01-21,4.7467036
2023-01-22,4.806095
2023-01-23,4.9655504
2023-01-24,5.1546755
2023-01-25,5.255839
2023-01-26,5.3687434
2023-01-27,5.4651484
2023-01-28,5.525218
2023-01-29,5.536483
2023-01-30,5.5530553
2023-01-31,5.5049696
2023-02-01,5.452052
2023-02-02,5.481337
2023-02-03,5.5145197
2023-02-04,5.5829864
2023-02-05,5.633745
2023-02-06,5.6281543
2023-02-07,5.562678
2023-02-08,5.5459547
2023-02-09,5.5408597
2023-02-10,5.4354463
2023-02-11,5.3048534
2023-02-12,5.2232895
2023-02-13,5.153614
2023-02-14,5.096006
2023-02-15,5.091282
2023-02-16,5.1831436
2023-02-17,5.301035
2023-02-18,5.7987204
2023-02-19,6.404005
2023-02-20,7.131208
2023-02-21,7.823159
2023-02-22,8.286272
2023-02-23,8.502004
2023-02-24,8.498596
2023-02-25,8.184356
2023-02-26,7.737944
2023-02-27,7.332831
2023-02-28,7.017686
2023-03-01,6.746081
2023-03-02,6.69033
2023-03-03,6.704427
2023-03-04,6.652146
2023-03-05,6.517596
2023-03-06,6.401791
2023-03-07,6.3098907
2023-03-08,6.2270374
2023-03-09,6.132396
2023-03-10,6.000665
2023-03-11,5.841815
2023-03-12,5.6415777
2023-03-13,5.576845
2023-03-14,5.711508
2023-03-15,6.000536
2023-03-16,6.1314936
2023-03-17,6.186338
2023-03-18,6.2812424
2023-03-19,6.2893696
2023-03-20,6.317623
2023-03-21,6.251385
2023-03-22,6.183601
2023-03-23,6.0761023
2023-03-24,6.0125747
2023-03-25,5.920284
2023-03-26,5.800011
2023-03-27,5.7384605
